name	version	repository	architecture	download_bytes	url	sha256
shared-mime-info	2.5.1-2	extra	aarch64	703476	http://mirror.archlinuxarm.org/aarch64/extra/shared-mime-info-2.5.1-2-aarch64.pkg.tar.xz	1a13b14aec99ae2c7666e73b7b5f74b6c899f80fc9bf26d089ea51fe2cb4d821
spirv-tools	1:1.4.357.0-1	extra	aarch64	1935624	http://mirror.archlinuxarm.org/aarch64/extra/spirv-tools-1:1.4.357.0-1-aarch64.pkg.tar.xz	e49c54afc1e11b1a915df17ba380c4c4402477a5d5370417801a87df3388ae59
tomlplusplus	3.4.0-1	extra	aarch64	164828	http://mirror.archlinuxarm.org/aarch64/extra/tomlplusplus-3.4.0-1-aarch64.pkg.tar.xz	79fb3aaffdb83b811096032183d34960ec7ae136a28217bf626c9a45ad750422
ttf-jetbrains-mono-nerd	3.5.1-2	extra	any	18962612	http://mirror.archlinuxarm.org/aarch64/extra/ttf-jetbrains-mono-nerd-3.5.1-2-any.pkg.tar.xz	967fcc3690a1a71a3947de30e46a1be3f01d18250ad63f21dfde5de4d454d033
wayland	1.26.0-1	extra	aarch64	143632	http://mirror.archlinuxarm.org/aarch64/extra/wayland-1.26.0-1-aarch64.pkg.tar.xz	9382b38f97ee3841597f89aa6ca1fceea3d968ae759151eaab9c4b5373d1ce72
wayland-protocols	1.49-1	extra	any	139436	http://mirror.archlinuxarm.org/aarch64/extra/wayland-protocols-1.49-1-any.pkg.tar.xz	9678c0d371ecfb5041b1b1d8a7986977bd82b7233984dbe25b33a54da0dbee27
xcb-proto	1.17.0-4	extra	any	127676	http://mirror.archlinuxarm.org/aarch64/extra/xcb-proto-1.17.0-4-any.pkg.tar.xz	c494c60bbb63fe42cd68a37710d389818611775fd74dcb228d901003958aa8ee
xcb-util	0.4.1-2	extra	aarch64	11788	http://mirror.archlinuxarm.org/aarch64/extra/xcb-util-0.4.1-2-aarch64.pkg.tar.xz	acf6f8f974bb4c5aa982eb8e9f7e988704807b3db9d747ce98f6ca1ffaa17b5f
xcb-util-errors	1.0.1-2	extra	aarch64	12944	http://mirror.archlinuxarm.org/aarch64/extra/xcb-util-errors-1.0.1-2-aarch64.pkg.tar.xz	50bbcefde3803aba7a8a4502e927fff5e71261c6e6b82d32e478ae5d2ec8af24
xcb-util-image	0.4.1-3	extra	aarch64	17068	http://mirror.archlinuxarm.org/aarch64/extra/xcb-util-image-0.4.1-3-aarch64.pkg.tar.xz	e615d2753b21b48d40317c603a75f41c3a1c5ac06a159a7af2b35708a1cc13a6
